crimeDate,CRIME_NUM,location_description
2019-01-01,179,STREET
2019-01-02,148,STREET
2019-01-03,190,STREET
2019-01-04,166,STREET
2019-01-05,176,STREET
2019-01-06,138,STREET
2019-01-07,127,STREET
2019-01-08,135,STREET
2019-01-09,126,STREET
2019-01-10,148,STREET
2019-01-11,161,STREET
2019-01-12,143,STREET
2019-01-13,127,STREET
2019-01-14,139,STREET
2019-01-15,148,STREET
2019-01-16,149,STREET
2019-01-17,132,STREET
2019-01-18,137,STREET
2019-01-19,112,STREET
2019-01-20,110,STREET
2019-01-21,117,STREET
2019-01-22,112,STREET
2019-01-23,143,STREET
2019-01-24,115,STREET
2019-01-25,90,STREET
2019-01-26,125,STREET
2019-01-27,105,STREET
2019-01-28,96,STREET
2019-01-29,106,STREET
2019-01-30,55,STREET
2019-01-31,104,STREET
2019-02-01,156,STREET
2019-02-02,172,STREET
2019-02-03,150,STREET
2019-02-04,152,STREET
2019-02-05,115,STREET
2019-02-06,124,STREET
2019-02-07,127,STREET
2019-02-08,139,STREET
2019-02-09,159,STREET
2019-02-10,138,STREET
2019-02-11,119,STREET
2019-02-12,119,STREET
2019-02-13,118,STREET
2019-02-14,140,STREET
2019-02-15,159,STREET
2019-02-16,144,STREET
2019-02-17,130,STREET
2019-02-18,131,STREET
2019-02-19,117,STREET
2019-02-20,140,STREET
2019-02-21,145,STREET
2019-02-22,134,STREET
2019-02-23,153,STREET
2019-02-24,124,STREET
2019-02-25,136,STREET
2019-02-26,133,STREET
2019-02-27,130,STREET
2019-02-28,105,STREET
2019-03-01,145,STREET
2019-03-02,157,STREET
2019-03-03,132,STREET
2019-03-04,107,STREET
2019-03-05,110,STREET
2019-03-06,117,STREET
2019-03-07,129,STREET
2019-03-08,145,STREET
2019-03-09,140,STREET
2019-03-10,161,STREET
2019-03-11,164,STREET
2019-03-12,140,STREET
2019-03-13,139,STREET
2019-03-14,134,STREET
2019-03-15,163,STREET
2019-03-16,147,STREET
2019-03-17,138,STREET
2019-03-18,130,STREET
2019-03-19,123,STREET
2019-03-20,150,STREET
2019-03-21,146,STREET
2019-03-22,141,STREET
2019-03-23,165,STREET
2019-03-24,154,STREET
2019-03-25,134,STREET
2019-03-26,128,STREET
2019-03-27,136,STREET
2019-03-28,146,STREET
2019-03-29,143,STREET
2019-03-30,139,STREET
2019-03-31,143,STREET
2019-04-01,143,STREET
2019-04-02,138,STREET
2019-04-03,121,STREET
2019-04-04,140,STREET
2019-04-05,178,STREET
2019-04-06,180,STREET
2019-04-07,195,STREET
2019-04-08,178,STREET
2019-04-09,147,STREET
2019-04-10,154,STREET
2019-04-11,159,STREET
2019-04-12,154,STREET
2019-04-13,153,STREET
2019-04-14,131,STREET
2019-04-15,165,STREET
2019-04-16,136,STREET
2019-04-17,152,STREET
2019-04-18,135,STREET
2019-04-19,143,STREET
2019-04-20,169,STREET
2019-04-21,147,STREET
2019-04-22,168,STREET
2019-04-23,165,STREET
2019-04-24,173,STREET
2019-04-25,175,STREET
2019-04-26,170,STREET
2019-04-27,141,STREET
2019-04-28,147,STREET
2019-04-29,146,STREET
2019-04-30,139,STREET
2019-05-01,142,STREET
2019-05-02,133,STREET
2019-05-03,172,STREET
2019-05-04,145,STREET
2019-05-05,191,STREET
2019-05-06,156,STREET
2019-05-07,123,STREET
2019-05-08,162,STREET
2019-05-09,147,STREET
2019-05-10,140,STREET
2019-05-11,156,STREET
2019-05-12,155,STREET
2019-05-13,181,STREET
2019-05-14,149,STREET
2019-05-15,164,STREET
2019-05-16,164,STREET
2019-05-17,163,STREET
2019-05-18,174,STREET
2019-05-19,184,STREET
2019-05-20,176,STREET
2019-05-21,118,STREET
2019-05-22,158,STREET
2019-05-23,176,STREET
2019-05-24,196,STREET
2019-05-25,213,STREET
2019-05-26,209,STREET
2019-05-27,171,STREET
2019-05-28,150,STREET
2019-05-29,144,STREET
2019-05-30,161,STREET
2019-05-31,179,STREET
2019-06-01,187,STREET
2019-06-02,171,STREET
2019-06-03,152,STREET
2019-06-04,162,STREET
2019-06-05,175,STREET
2019-06-06,143,STREET
2019-06-07,177,STREET
2019-06-08,213,STREET
2019-06-09,206,STREET
2019-06-10,167,STREET
2019-06-11,178,STREET
2019-06-12,145,STREET
2019-06-13,162,STREET
2019-06-14,171,STREET
2019-06-15,194,STREET
2019-06-16,176,STREET
2019-06-17,160,STREET
2019-06-18,154,STREET
2019-06-19,183,STREET
2019-06-20,138,STREET
2019-06-21,177,STREET
2019-06-22,215,STREET
2019-06-23,212,STREET
2019-06-24,176,STREET
2019-06-25,164,STREET
2019-06-26,169,STREET
2019-06-27,165,STREET
2019-06-28,216,STREET
2019-06-29,192,STREET
2019-06-30,197,STREET
2019-07-01,195,STREET
2019-07-02,163,STREET
2019-07-03,169,STREET
2019-07-04,205,STREET
2019-07-05,204,STREET
2019-07-06,189,STREET
2019-07-07,174,STREET
2019-07-08,193,STREET
2019-07-09,165,STREET
2019-07-10,188,STREET
2019-07-11,156,STREET
2019-07-12,166,STREET
2019-07-13,217,STREET
2019-07-14,202,STREET
2019-07-15,172,STREET
2019-07-16,175,STREET
2019-07-17,161,STREET
2019-07-18,173,STREET
2019-07-19,184,STREET
2019-07-20,207,STREET
