crimeDate,CRIME_NUM,location_description,day,month,year,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2019-01-01,179,STREET,2,01,2019,30.7,28.2,1019.8,8.1,8.9,18.1,26.0,39.0,26.1,0.86,999.9,0
2019-01-02,148,STREET,3,01,2019,27.6,24.5,1022.2,7.6,5.6,15.0,22.0,34.0,26.1,0.01,999.9,0
2019-01-03,190,STREET,4,01,2019,29.2,22.9,1016.8,10.0,9.9,15.0,24.1,37.9,24.1,0.01,999.9,0
2019-01-04,166,STREET,5,01,2019,37.0,28.1,1010.1,10.0,9.1,15.0,21.0,48.0,24.3,0.0,999.9,0
2019-01-05,176,STREET,6,01,2019,38.9,32.0,1008.9,10.0,6.3,14.0,20.0,52.0,31.1,0.0,999.9,0
2019-01-06,138,STREET,7,01,2019,37.9,31.7,1020.8,10.0,8.4,13.0,999.9,52.0,30.0,0.0,999.9,0
2019-01-07,127,STREET,1,01,2019,43.6,38.7,1013.7,8.2,14.2,19.0,31.1,53.6,37.0,0.0,999.9,0
2019-01-08,135,STREET,2,01,2019,41.4,35.4,1008.4,8.2,10.9,25.1,41.0,53.1,36.0,0.44,999.9,0
2019-01-09,126,STREET,3,01,2019,23.2,11.6,1021.3,10.0,14.2,22.0,35.9,45.0,19.0,0.0,999.9,0
2019-01-10,148,STREET,4,01,2019,17.9,8.7,1029.8,10.0,6.1,11.1,999.9,25.0,14.0,0.0,999.9,0
2019-01-11,161,STREET,5,01,2019,23.4,17.4,1028.9,9.5,2.9,8.0,999.9,30.0,14.0,0.0,999.9,0
2019-01-12,143,STREET,6,01,2019,30.2,23.8,1027.0,6.8,7.3,14.0,21.0,32.0,17.1,0.0,2.0,1
2019-01-13,127,STREET,7,01,2019,29.7,24.0,1028.4,7.1,13.2,17.1,26.0,32.0,26.1,0.13,2.0,0
2019-01-14,139,STREET,1,01,2019,25.4,20.4,1028.5,9.2,6.6,11.1,17.1,30.9,23.0,0.01,1.2,0
2019-01-15,148,STREET,2,01,2019,25.5,21.8,1023.0,8.4,9.2,15.9,27.0,28.0,23.0,0.0,1.2,0
