day,year,mo,da,crimeDate,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,CRIME_NUM
2,2019,01,01,2019-01-01,30.7,28.2,1019.8,8.1,8.9,18.1,26.0,39.0,26.1,0.86,999.9,0,1076
3,2019,01,02,2019-01-02,27.6,24.5,1022.2,7.6,5.6,15.0,22.0,34.0,26.1,0.01,999.9,0,655
4,2019,01,03,2019-01-03,29.2,22.9,1016.8,10.0,9.9,15.0,24.1,37.9,24.1,0.01,999.9,0,751
5,2019,01,04,2019-01-04,37.0,28.1,1010.1,10.0,9.1,15.0,21.0,48.0,24.3,0.0,999.9,0,769
6,2019,01,05,2019-01-05,38.9,32.0,1008.9,10.0,6.3,14.0,20.0,52.0,31.1,0.0,999.9,0,792
7,2019,01,06,2019-01-06,37.9,31.7,1020.8,10.0,8.4,13.0,999.9,52.0,30.0,0.0,999.9,0,664
1,2019,01,07,2019-01-07,43.6,38.7,1013.7,8.2,14.2,19.0,31.1,53.6,37.0,0.0,999.9,0,676
2,2019,01,08,2019-01-08,41.4,35.4,1008.4,8.2,10.9,25.1,41.0,53.1,36.0,0.44,999.9,0,701
3,2019,01,09,2019-01-09,23.2,11.6,1021.3,10.0,14.2,22.0,35.9,45.0,19.0,0.0,999.9,0,631
4,2019,01,10,2019-01-10,17.9,8.7,1029.8,10.0,6.1,11.1,999.9,25.0,14.0,0.0,999.9,0,686
5,2019,01,11,2019-01-11,23.4,17.4,1028.9,9.5,2.9,8.0,999.9,30.0,14.0,0.0,999.9,0,784
6,2019,01,12,2019-01-12,30.2,23.8,1027.0,6.8,7.3,14.0,21.0,32.0,17.1,0.0,2.0,1,673
7,2019,01,13,2019-01-13,29.7,24.0,1028.4,7.1,13.2,17.1,26.0,32.0,26.1,0.13,2.0,0,573
1,2019,01,14,2019-01-14,25.4,20.4,1028.5,9.2,6.6,11.1,17.1,30.9,23.0,0.01,1.2,0,635
2,2019,01,15,2019-01-15,25.5,21.8,1023.0,8.4,9.2,15.9,27.0,28.0,23.0,0.0,1.2,0,698
3,2019,01,16,2019-01-16,31.2,24.9,1021.7,9.0,8.9,14.0,22.0,34.0,24.1,0.0,1.2,0,700
4,2019,01,17,2019-01-17,30.3,24.0,1021.1,7.9,5.3,9.9,999.9,35.1,28.0,0.0,1.2,0,653
5,2019,01,18,2019-01-18,29.7,23.5,1020.4,9.0,7.5,14.0,18.1,35.1,27.0,0.0,999.9,0,668
6,2019,01,19,2019-01-19,26.4,23.3,1018.8,3.8,16.3,24.1,34.0,30.9,21.0,0.26,5.1,0,522
7,2019,01,20,2019-01-20,11.9,2.8,1023.6,9.0,13.5,22.0,28.9,28.0,6.1,0.02,5.1,0,493
1,2019,01,21,2019-01-21,9.4,0.2,1033.3,9.7,7.1,14.0,999.9,17.1,3.0,0.0,5.1,0,556
2,2019,01,22,2019-01-22,18.7,8.7,1025.3,7.7,10.2,14.0,25.1,32.0,3.0,0.0,3.9,0,626
3,2019,01,23,2019-01-23,29.5,27.9,1009.8,3.5,7.3,14.0,21.0,34.0,12.9,0.32,5.1,0,662
4,2019,01,24,2019-01-24,16.6,12.3,1011.3,6.8,7.4,17.1,29.9,34.0,9.0,0.08,5.1,0,607
5,2019,01,25,2019-01-25,1.3,-5.5,1022.3,8.6,11.0,17.1,28.0,21.9,-6.0,0.0,5.1,0,586
6,2019,01,26,2019-01-26,2.1,-4.7,1022.8,8.8,4.8,9.9,999.9,12.0,-7.1,0.03,5.9,0,532
7,2019,01,27,2019-01-27,3.8,-2.4,1019.5,8.6,5.6,9.9,999.9,12.0,-7.1,0.06,5.9,0,524
1,2019,01,28,2019-01-28,18.4,12.9,1007.8,4.4,8.9,15.9,22.9,34.0,-2.9,0.36,9.8,1,521
2,2019,01,29,2019-01-29,5.8,-0.8,1012.3,8.6,12.5,21.0,33.0,18.0,-2.0,0.17,9.1,0,494
3,2019,01,30,2019-01-30,-14.6,-23.8,1022.2,9.8,14.4,18.1,28.0,10.0,-23.1,0.0,7.9,0,341
4,2019,01,31,2019-01-31,-15.0,-23.0,1030.7,9.9,7.5,13.0,20.0,-4.0,-22.0,0.0,7.9,0,459
5,2019,02,01,2019-02-01,6.9,1.6,1027.5,6.3,3.2,7.0,999.9,21.0,-4.0,0.07,9.1,0,776
6,2019,02,02,2019-02-02,25.6,21.0,1020.8,6.8,9.0,13.0,22.9,42.1,1.9,0.02,7.1,0,722
7,2019,02,03,2019-02-03,42.3,40.1,1011.3,6.3,9.7,13.0,21.0,46.4,37.0,0.0,1.2,0,595
1,2019,02,04,2019-02-04,47.3,44.2,1007.0,7.6,9.2,14.0,24.1,51.1,37.9,0.0,3.9,0,736
2,2019,02,05,2019-02-05,29.5,24.3,1017.7,10.0,8.8,14.0,22.9,51.1,24.1,0.05,999.9,0,653
3,2019,02,06,2019-02-06,32.8,31.4,1013.9,3.7,6.8,14.0,20.0,36.0,25.0,0.31,999.9,1,636
4,2019,02,07,2019-02-07,35.6,34.0,1010.5,4.4,8.0,22.0,36.9,44.1,28.9,0.57,999.9,1,670
5,2019,02,08,2019-02-08,11.4,2.5,1026.2,8.9,18.5,25.1,41.0,28.9,3.9,0.15,999.9,0,642
6,2019,02,09,2019-02-09,11.8,2.2,1044.1,10.0,5.7,14.0,18.1,24.1,3.9,0.0,999.9,0,756
7,2019,02,10,2019-02-10,23.4,15.9,1034.4,8.6,6.8,9.9,999.9,28.0,19.9,0.0,1.2,0,638
1,2019,02,11,2019-02-11,28.0,25.3,1021.5,5.8,8.0,14.0,21.0,30.9,21.9,0.04,1.2,0,626
2,2019,02,12,2019-02-12,32.0,29.3,1009.6,3.8,11.6,19.0,33.0,34.0,26.6,0.51,1.2,0,665
3,2019,02,13,2019-02-13,18.5,14.6,1012.9,6.6,14.7,20.0,34.0,34.0,10.0,0.04,1.2,0,643
