day,month,year,crimeDate,Crime_Total,Arson,Assault,Battery,Burglary,Concealed_Carry_License_Violation,Criminal_Damage,Criminal_Tresspass,Crim_Sexual_Assault,Criminal_Sexual_Assault,Deceptive_Practice,Domestic_Violence,Gambling,Homicide,Human_Trafficking,Interference_with_Public_Officer,Intimidation,Kidnapping,Liquor_Law_Violation,Motor_Vehicle_Theft,Narcotics,Other_Narcotic_Violation,Non_Criminal,Non_Criminal2,Non_Criminal_SUBJECT_SPECIFIED,Obscenity,Offence_Involving_Children,Public_Indecency,prostitution,Public_Peace_Violation,Ritualism,Robbery,Stalking,Theft,Weapon_Violation,Other_Offence,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2,01,19,2019-01-01,1076,,63,218,28,,124,16,11,9,152,,,,,7,2,2,2,33,36,,,,,,52,,1,5,,26,17,153,39,80,30.7,28.2,1019.8,8.1,8.9,18.1,26.0,39.0,26.1,0.86,999.9,0
3,01,19,2019-01-02,655,1,43,105,33,1,61,16,3,2,63,,,,,3,,,,30,49,,,,,,,,,2,,23,3,152,20,44,27.6,24.5,1022.2,7.6,5.6,15.0,22.0,34.0,26.1,0.01,999.9,0
4,01,19,2019-01-03,751,,52,112,37,,82,20,1,,66,,,1,,2,1,,,24,53,,,,,,2,,3,3,,32,2,196,13,49,29.2,22.9,1016.8,10.0,9.9,15.0,24.1,37.9,24.1,0.01,999.9,0
5,01,19,2019-01-04,769,,51,105,38,,82,13,3,2,57,,,,,4,,,4,27,68,,,,,,4,,8,7,,37,2,182,21,54,37.0,28.1,1010.1,10.0,9.1,15.0,21.0,48.0,24.3,0.0,999.9,0
6,01,19,2019-01-05,792,1,37,173,32,,66,23,5,1,58,,,1,1,1,2,1,2,17,75,,,,,,6,,7,4,,29,6,175,24,45,38.9,32.0,1008.9,10.0,6.3,14.0,20.0,52.0,31.1,0.0,999.9,0
7,01,19,2019-01-06,664,1,47,143,28,,77,18,5,1,45,,,2,,6,,,,15,39,,,,,,7,,1,3,,20,1,157,17,31,37.9,31.7,1020.8,10.0,8.4,13.0,999.9,52.0,30.0,0.0,999.9,0
1,01,19,2019-01-07,676,1,54,108,41,,71,31,1,,49,,1,2,,2,,,,19,36,,,,,1,7,,,1,,15,2,167,9,56,43.6,38.7,1013.7,8.2,14.2,19.0,31.1,53.6,37.0,0.0,999.9,0
2,01,19,2019-01-08,701,1,55,124,39,,81,19,5,,60,,,,1,3,2,1,1,9,46,,,,,,4,,,2,,25,3,169,13,37,41.4,35.4,1008.4,8.2,10.9,25.1,41.0,53.1,36.0,0.44,999.9,0
3,01,19,2019-01-09,631,2,49,100,22,,48,18,4,,59,,,,,1,,,,21,55,,,,,,4,,,3,,19,,168,18,39,23.2,11.6,1021.3,10.0,14.2,22.0,35.9,45.0,19.0,0.0,999.9,0
4,01,19,2019-01-10,686,1,42,113,38,2,80,16,7,1,52,,,,,4,1,,1,15,46,,,,,,11,,,5,,18,2,158,21,52,17.9,8.7,1029.8,10.0,6.1,11.1,999.9,25.0,14.0,0.0,999.9,0
5,01,19,2019-01-11,784,1,45,117,38,,74,24,1,,61,,,4,,2,1,,2,27,65,,,,,,8,,,8,,27,4,201,14,58,23.4,17.4,1028.9,9.5,2.9,8.0,999.9,30.0,14.0,0.0,999.9,0
6,01,19,2019-01-12,673,2,55,124,26,,54,11,8,5,49,,,1,,3,,,1,21,48,,,,,,7,,8,1,,17,2,165,14,50,30.2,23.8,1027.0,6.8,7.3,14.0,21.0,32.0,17.1,0.0,2.0,1
7,01,19,2019-01-13,573,1,40,130,29,,52,22,1,,17,,2,,,3,,,,20,36,,,,,,8,,10,4,,23,3,117,18,37,29.7,24.0,1028.4,7.1,13.2,17.1,26.0,32.0,26.1,0.13,2.0,0
1,01,19,2019-01-14,635,,62,111,18,,54,27,2,3,45,,,,,5,2,,,27,30,,,,,,2,,1,,,22,4,162,19,39,25.4,20.4,1028.5,9.2,6.6,11.1,17.1,30.9,23.0,0.01,1.2,0
2,01,19,2019-01-15,698,,51,124,25,,57,26,2,1,71,,,1,,5,1,,,28,45,,,,,,3,,6,2,,23,5,159,9,52,25.5,21.8,1023.0,8.4,9.2,15.9,27.0,28.0,23.0,0.0,1.2,0
3,01,19,2019-01-16,700,1,54,108,28,,49,23,2,2,57,,,,1,2,1,,,23,55,,,,,,6,,,2,,31,,173,16,65,31.2,24.9,1021.7,9.0,8.9,14.0,22.0,34.0,24.1,0.0,1.2,0
4,01,19,2019-01-17,653,2,55,107,17,1,52,24,1,,59,,,,,1,,1,1,22,37,,,,,,6,,7,2,,24,5,165,14,50,30.3,24.0,1021.1,7.9,5.3,9.9,999.9,35.1,28.0,0.0,1.2,0
5,01,19,2019-01-18,668,3,54,114,33,,53,21,2,,57,,,,,2,,,,30,36,,,,,,5,,,2,,22,,164,21,48,29.7,23.5,1020.4,9.0,7.5,14.0,18.1,35.1,27.0,0.0,999.9,0
6,01,19,2019-01-19,522,,25,107,21,2,52,20,3,3,43,,,3,,5,,,1,14,30,,,1,,,3,,1,2,,21,4,114,17,30,26.4,23.3,1018.8,3.8,16.3,24.1,34.0,30.9,21.0,0.26,5.1,0
7,01,19,2019-01-20,493,1,43,109,13,,48,15,7,1,32,,,1,,5,,,,19,23,,,,,,3,,,3,,16,2,100,7,45,11.9,2.8,1023.6,9.0,13.5,22.0,28.9,28.0,6.1,0.02,5.1,0
1,01,19,2019-01-21,556,1,42,78,22,1,55,17,3,2,37,,,,,5,1,,,23,42,,,,,,3,,,2,,24,3,136,10,49,9.4,0.2,1033.3,9.7,7.1,14.0,999.9,17.1,3.0,0.0,5.1,0
2,01,19,2019-01-22,626,1,49,111,31,,40,24,3,4,56,,,1,,3,,1,1,20,45,,,,,1,9,,5,2,,19,2,149,7,42,18.7,8.7,1025.3,7.7,10.2,14.0,25.1,32.0,3.0,0.0,3.9,0
3,01,19,2019-01-23,662,,46,97,28,,59,21,3,,35,,,,,4,2,,,19,81,,,,,,4,,,2,,24,4,177,10,44,29.5,27.9,1009.8,3.5,7.3,14.0,21.0,34.0,12.9,0.32,5.1,0
4,01,19,2019-01-24,607,1,44,110,20,,54,21,5,2,45,,,,,3,2,1,1,21,41,,,,,,9,,1,6,,21,5,137,12,44,16.6,12.3,1011.3,6.8,7.4,17.1,29.9,34.0,9.0,0.08,5.1,0
5,01,19,2019-01-25,586,,35,109,18,2,39,17,3,3,50,,,1,,2,1,,2,17,50,,,,,1,7,,3,4,,18,2,140,15,47,1.3,-5.5,1022.3,8.6,11.0,17.1,28.0,21.9,-6.0,0.0,5.1,0
6,01,19,2019-01-26,532,,34,106,19,,57,13,4,1,32,,,,,5,,,2,31,40,,,,,,6,,,1,,14,1,117,11,37,2.1,-4.7,1022.8,8.8,4.8,9.9,999.9,12.0,-7.1,0.03,5.9,0
7,01,19,2019-01-27,524,,63,103,19,,28,9,1,1,35,,1,,,,2,,,22,38,,,,,,5,,2,3,,15,3,119,14,40,3.8,-2.4,1019.5,8.6,5.6,9.9,999.9,12.0,-7.1,0.06,5.9,0
1,01,19,2019-01-28,521,,50,109,20,,39,10,,1,48,,,2,,1,,1,,19,36,,,,,,4,,1,4,,23,2,94,6,51,18.4,12.9,1007.8,4.4,8.9,15.9,22.9,34.0,-2.9,0.36,9.8,1
2,01,19,2019-01-29,494,,50,84,14,1,35,11,2,1,38,,,1,,1,,,,29,35,,,,,,7,,,3,,9,4,128,8,33,5.8,-0.8,1012.3,8.6,12.5,21.0,33.0,18.0,-2.0,0.17,9.1,0
3,01,19,2019-01-30,341,,26,83,15,2,25,6,4,,28,,,,,1,,,,25,9,,,,,,1,,,,,10,4,61,4,36,-14.6,-23.8,1022.2,9.8,14.4,18.1,28.0,10.0,-23.1,0.0,7.9,0
4,01,19,2019-01-31,459,,43,82,7,,46,11,3,1,33,,,1,,3,,,,41,15,,,,,,5,,,,,11,2,102,6,46,-15.0,-23.0,1030.7,9.9,7.5,13.0,20.0,-4.0,-22.0,0.0,7.9,0
5,02,19,2019-02-01,776,2,46,90,29,,68,16,9,3,99,,,1,,6,,,,34,62,,,,,,13,,4,4,,20,11,162,9,87,6.9,1.6,1027.5,6.3,3.2,7.0,999.9,21.0,-4.0,0.07,9.1,0
6,02,19,2019-02-02,722,1,51,126,26,,75,16,4,1,47,,,1,,5,1,1,,23,55,,,,,,8,,6,2,,13,4,185,13,58,25.6,21.0,1020.8,6.8,9.0,13.0,22.9,42.1,1.9,0.02,7.1,0
7,02,19,2019-02-03,595,,60,138,14,2,57,14,3,1,30,,,2,,3,,,1,24,31,,,,,,4,,4,6,,22,2,119,19,39,42.3,40.1,1011.3,6.3,9.7,13.0,21.0,46.4,37.0,0.0,1.2,0
1,02,19,2019-02-04,736,,65,129,34,,85,28,5,3,58,,,,,,1,1,,19,40,,,,,,8,,,5,,14,6,181,14,39,47.3,44.2,1007.0,7.6,9.2,14.0,24.1,51.1,37.9,0.0,3.9,0
2,02,19,2019-02-05,653,3,57,104,31,,59,13,2,1,41,,,1,,5,,1,,21,46,,,,,1,6,,,3,,10,3,166,20,57,29.5,24.3,1017.7,10.0,8.8,14.0,22.9,51.1,24.1,0.05,999.9,0
3,02,19,2019-02-06,636,1,57,121,28,2,57,21,2,,37,,,2,,5,,1,,20,49,,,,,,5,,1,2,,17,3,148,5,51,32.8,31.4,1013.9,3.7,6.8,14.0,20.0,36.0,25.0,0.31,999.9,1
4,02,19,2019-02-07,670,,62,122,26,,64,15,,1,50,,,,,5,,1,,19,47,,,,,,5,,,8,,13,9,171,12,40,35.6,34.0,1010.5,4.4,8.0,22.0,36.9,44.1,28.9,0.57,999.9,1
