"","month","day","year","CrimeTotalAssaultTheft.year.1","temp","Crime_Total","Theft","Assault"
"1","Jan","Wednesday",2019,2019,27.6,0.543293718166384,0.581632653061224,0.315789473684211
"2","Jan","Thursday",2019,2019,29.2,0.706281833616299,0.806122448979592,0.473684210526316
"3","Jan","Friday",2019,2019,37,0.736842105263158,0.73469387755102,0.456140350877193
"4","Jan","Saturday",2019,2019,38.9,0.775891341256367,0.698979591836735,0.210526315789474
"5","Jan","Sunday",2019,2019,37.9,0.558573853989813,0.607142857142857,0.385964912280702
"6","Jan","Monday",2019,2019,43.6,0.578947368421053,0.658163265306122,0.508771929824561
"7","Jan","Tuesday",2019,2019,41.4,0.621392190152801,0.668367346938776,0.526315789473684
"8","Jan","Wednesday",2019,2019,23.2,0.502546689303905,0.663265306122449,0.421052631578947
"9","Jan","Thursday",2019,2019,17.9,0.595925297113752,0.612244897959184,0.298245614035088
"10","Jan","Friday",2019,2019,23.4,0.762308998302207,0.831632653061224,0.350877192982456
"11","Jan","Saturday",2019,2019,30.2,0.573853989813243,0.647959183673469,0.526315789473684
"12","Jan","Sunday",2019,2019,29.7,0.404074702886248,0.403061224489796,0.263157894736842
"13","Jan","Monday",2019,2019,25.4,0.509337860780985,0.63265306122449,0.649122807017544
"14","Jan","Tuesday",2019,2019,25.5,0.616298811544992,0.61734693877551,0.456140350877193
"15","Jan","Wednesday",2019,2019,31.2,0.619694397283531,0.688775510204082,0.508771929824561
"16","Jan","Thursday",2019,2019,30.3,0.539898132427844,0.647959183673469,0.526315789473684
"17","Jan","Friday",2019,2019,29.7,0.565365025466893,0.642857142857143,0.508771929824561
"18","Jan","Saturday",2019,2019,26.4,0.31748726655348,0.387755102040816,0
"19","Jan","Sunday",2019,2019,11.9,0.268251273344652,0.316326530612245,0.315789473684211
"20","Jan","Monday",2019,2019,9.4,0.375212224108659,0.5,0.298245614035088
"21","Jan","Tuesday",2019,2019,18.7,0.494057724957555,0.566326530612245,0.421052631578947
"22","Jan","Wednesday",2019,2019,29.5,0.555178268251273,0.709183673469388,0.368421052631579
"23","Jan","Thursday",2019,2019,16.6,0.461799660441426,0.505102040816326,0.333333333333333
"24","Jan","Friday",2019,2019,1.3,0.426146010186757,0.520408163265306,0.175438596491228
"25","Jan","Saturday",2019,2019,2.1,0.33446519524618,0.403061224489796,0.157894736842105
"26","Jan","Sunday",2019,2019,3.8,0.32088285229202,0.413265306122449,0.666666666666667
"27","Jan","Monday",2019,2019,18.4,0.315789473684211,0.285714285714286,0.43859649122807
"28","Jan","Tuesday",2019,2019,5.8,0.269949066213922,0.459183673469388,0.43859649122807
"29","Jan","Wednesday",2019,2019,-14.6,0.0101867572156197,0.11734693877551,0.0175438596491228
"30","Jan","Thursday",2019,2019,-15,0.210526315789474,0.326530612244898,0.315789473684211
"31","Feb","Friday",2019,2019,6.9,0.748726655348047,0.63265306122449,0.368421052631579
"32","Feb","Saturday",2019,2019,25.6,0.65704584040747,0.75,0.456140350877193
"33","Feb","Sunday",2019,2019,42.3,0.441426146010187,0.413265306122449,0.614035087719298
"34","Feb","Monday",2019,2019,47.3,0.68081494057725,0.729591836734694,0.701754385964912
"35","Feb","Tuesday",2019,2019,29.5,0.539898132427844,0.653061224489796,0.56140350877193
"36","Feb","Wednesday",2019,2019,32.8,0.511035653650255,0.561224489795918,0.56140350877193
"37","Feb","Thursday",2019,2019,35.6,0.568760611205433,0.678571428571429,0.649122807017544
"38","Feb","Friday",2019,2019,11.4,0.521222410865874,0.668367346938776,0.228070175438596
"39","Feb","Saturday",2019,2019,11.8,0.714770797962649,0.739795918367347,0.298245614035088
"40","Feb","Sunday",2019,2019,23.4,0.514431239388795,0.535714285714286,0.368421052631579
"41","Feb","Monday",2019,2019,28,0.494057724957555,0.591836734693878,0.298245614035088
"42","Feb","Tuesday",2019,2019,32,0.560271646859083,0.612244897959184,0.649122807017544
"43","Feb","Wednesday",2019,2019,18.5,0.522920203735144,0.556122448979592,0.56140350877193
"44","Feb","Thursday",2019,2019,36.1,0.691001697792869,0.658163265306122,0.771929824561403
"45","Feb","Friday",2019,2019,22.8,0.689303904923599,0.770408163265306,0.684210526315789
"46","Feb","Saturday",2019,2019,18.6,0.580645161290323,0.683673469387755,0.280701754385965
"47","Feb","Sunday",2019,2019,25.3,0.480475382003396,0.505102040816326,0.473684210526316
"48","Feb","Monday",2019,2019,25.1,0.432937181663837,0.586734693877551,0.245614035087719
"49","Feb","Tuesday",2019,2019,21.8,0.471986417657046,0.48469387755102,0.578947368421053
"50","Feb","Wednesday",2019,2019,31.1,0.509337860780985,0.530612244897959,0.315789473684211
"51","Feb","Thursday",2019,2019,30.9,0.612903225806452,0.729591836734694,0.543859649122807
"52","Feb","Friday",2019,2019,28.6,0.640067911714771,0.566326530612245,0.473684210526316
"53","Feb","Saturday",2019,2019,35.6,0.529711375212224,0.545918367346939,0.403508771929825
"54","Feb","Sunday",2019,2019,37.4,0.359932088285229,0.51530612244898,0.140350877192982
"55","Feb","Monday",2019,2019,12.3,0.444821731748727,0.571428571428571,0.228070175438596
"56","Feb","Tuesday",2019,2019,16.9,0.465195246179966,0.571428571428571,0.56140350877193
"57","Feb","Wednesday",2019,2019,24.6,0.533106960950764,0.540816326530612,0.350877192982456
"58","Feb","Thursday",2019,2019,18,0.441426146010187,0.596938775510204,0.263157894736842
"59","Mar","Friday",2019,2019,26.7,0.714770797962649,0.576530612244898,0.385964912280702
"60","Mar","Saturday",2019,2019,29.1,0.560271646859083,0.494897959183673,0.473684210526316
"61","Mar","Sunday",2019,2019,22.2,0.366723259762309,0.285714285714286,0.368421052631579
"62","Mar","Monday",2019,2019,5.2,0.354838709677419,0.433673469387755,0.228070175438596
"63","Mar","Tuesday",2019,2019,11.9,0.351443123938879,0.433673469387755,0.350877192982456
"64","Mar","Wednesday",2019,2019,16.3,0.499151103565365,0.561224489795918,0.43859649122807
"65","Mar","Thursday",2019,2019,22.7,0.466893039049236,0.561224489795918,0.175438596491228
"66","Mar","Friday",2019,2019,28,0.650254668930391,0.510204081632653,0.491228070175439
"67","Mar","Saturday",2019,2019,33.5,0.478777589134126,0.448979591836735,0.315789473684211
"68","Mar","Sunday",2019,2019,36.6,0.470288624787776,0.408163265306122,0.491228070175439
"69","Mar","Monday",2019,2019,32,0.619694397283531,0.637755102040816,0.56140350877193
"70","Mar","Tuesday",2019,2019,35.2,0.495755517826825,0.596938775510204,0.368421052631579
"71","Mar","Wednesday",2019,2019,44.9,0.599320882852292,0.581632653061224,0.859649122807018
"72","Mar","Thursday",2019,2019,55.3,0.578947368421053,0.494897959183673,0.666666666666667
"73","Mar","Friday",2019,2019,38,0.67911714770798,0.637755102040816,0.754385964912281
"74","Mar","Saturday",2019,2019,34.4,0.731748726655348,0.596938775510204,0.631578947368421
"75","Mar","Sunday",2019,2019,34.8,0.470288624787776,0.397959183673469,0.578947368421053
"76","Mar","Monday",2019,2019,35.4,0.536502546689304,0.525510204081633,0.684210526315789
"77","Mar","Tuesday",2019,2019,38.7,0.524617996604414,0.571428571428571,0.631578947368421
"78","Mar","Wednesday",2019,2019,41.7,0.607809847198642,0.622448979591837,0.508771929824561
"79","Mar","Thursday",2019,2019,39.8,0.601018675721562,0.693877551020408,0.596491228070175
"80","Mar","Friday",2019,2019,40.2,0.634974533106961,0.714285714285714,0.403508771929825
"81","Mar","Saturday",2019,2019,36.5,0.602716468590832,0.63265306122449,0.43859649122807
"82","Mar","Sunday",2019,2019,45.5,0.531409168081494,0.540816326530612,0.56140350877193
"83","Mar","Monday",2019,2019,36,0.516129032258065,0.561224489795918,0.526315789473684
"84","Mar","Tuesday",2019,2019,34.9,0.572156196943973,0.612244897959184,0.43859649122807
"85","Mar","Wednesday",2019,2019,41.8,0.616298811544992,0.494897959183673,0.719298245614035
"86","Mar","Thursday",2019,2019,53.2,0.590831918505942,0.581632653061224,0.807017543859649
"87","Mar","Friday",2019,2019,46.7,0.577249575551783,0.61734693877551,0.368421052631579
"88","Mar","Saturday",2019,2019,39.7,0.556876061120543,0.525510204081633,0.543859649122807
"89","Mar","Sunday",2019,2019,30.7,0.512733446519525,0.48469387755102,0.280701754385965
"90","Apr","Monday",2019,2019,35,0.775891341256367,0.729591836734694,0.666666666666667
"91","Apr","Tuesday",2019,2019,44.7,0.546689303904924,0.51530612244898,0.473684210526316
"92","Apr","Wednesday",2019,2019,45.5,0.585738539898132,0.505102040816326,0.771929824561403
"93","Apr","Thursday",2019,2019,46,0.556876061120543,0.586734693877551,0.456140350877193
"94","Apr","Friday",2019,2019,43.5,0.628183361629881,0.673469387755102,0.578947368421053
"95","Apr","Saturday",2019,2019,51.7,0.692699490662139,0.525510204081633,0.508771929824561
"96","Apr","Sunday",2019,2019,56.3,0.624787775891341,0.448979591836735,0.614035087719298
"97","Apr","Monday",2019,2019,61.2,0.694397283531409,0.602040816326531,0.719298245614035
"98","Apr","Tuesday",2019,2019,59.8,0.607809847198642,0.551020408163265,0.701754385964912
"99","Apr","Wednesday",2019,2019,40.5,0.548387096774194,0.63265306122449,0.421052631578947
"100","Apr","Thursday",2019,2019,42.2,0.697792869269949,0.724489795918367,0.684210526315789
"101","Apr","Friday",2019,2019,47.9,0.755517826825127,0.698979591836735,0.842105263157895
"102","Apr","Saturday",2019,2019,42.4,0.711375212224109,0.668367346938776,0.526315789473684
"103","Apr","Sunday",2019,2019,36.8,0.34125636672326,0.336734693877551,0.157894736842105
"104","Apr","Monday",2019,2019,37.8,0.66044142614601,0.704081632653061,0.543859649122807
"105","Apr","Tuesday",2019,2019,56,0.633276740237691,0.545918367346939,0.649122807017544
"106","Apr","Wednesday",2019,2019,55,0.606112054329372,0.581632653061224,0.385964912280702
"107","Apr","Thursday",2019,2019,58.5,0.497453310696095,0.489795918367347,0.526315789473684
"108","Apr","Friday",2019,2019,44.9,0.534804753820034,0.627551020408163,0.333333333333333
"109","Apr","Saturday",2019,2019,49.5,0.67062818336163,0.520408163265306,0.56140350877193
"110","Apr","Sunday",2019,2019,58.3,0.526315789473684,0.423469387755102,0.543859649122807
"111","Apr","Monday",2019,2019,68.1,0.68251273344652,0.469387755102041,0.807017543859649
"112","Apr","Tuesday",2019,2019,59.1,0.692699490662139,0.785714285714286,0.491228070175439
"113","Apr","Wednesday",2019,2019,52.7,0.623089983022071,0.642857142857143,0.754385964912281
"114","Apr","Thursday",2019,2019,56.7,0.733446519524618,0.683673469387755,0.824561403508772
"115","Apr","Friday",2019,2019,55.6,0.723259762308998,0.76530612244898,0.859649122807018
"116","Apr","Saturday",2019,2019,42.4,0.499151103565365,0.505102040816326,0.298245614035088
"117","Apr","Sunday",2019,2019,39.1,0.460101867572156,0.438775510204082,0.385964912280702
"118","Apr","Monday",2019,2019,45.1,0.648556876061121,0.76530612244898,0.578947368421053
"119","Apr","Tuesday",2019,2019,44.4,0.66893039049236,0.775510204081633,0.596491228070175
"120","May","Wednesday",2019,2019,50,0.818336162988115,0.780612244897959,0.87719298245614
"121","May","Thursday",2019,2019,44.3,0.617996604414261,0.663265306122449,0.508771929824561
"122","May","Friday",2019,2019,47.5,0.774193548387097,0.918367346938776,0.666666666666667
"123","May","Saturday",2019,2019,49.5,0.617996604414261,0.530612244897959,0.666666666666667
"124","May","Sunday",2019,2019,58.3,0.753820033955857,0.591836734693878,0.684210526315789
"125","May","Monday",2019,2019,59.3,0.775891341256367,0.75,0.736842105263158
"126","May","Tuesday",2019,2019,46.4,0.619694397283531,0.780612244897959,0.649122807017544
"127","May","Wednesday",2019,2019,50.1,0.719864176570458,0.653061224489796,0.719298245614035
"128","May","Thursday",2019,2019,61.3,0.68251273344652,0.627551020408163,1
"129","May","Friday",2019,2019,49.6,0.786078098471986,0.673469387755102,0.56140350877193
"130","May","Saturday",2019,2019,47.6,0.612903225806452,0.683673469387755,0.385964912280702
"131","May","Sunday",2019,2019,46.2,0.502546689303905,0.510204081632653,0.368421052631579
"132","May","Monday",2019,2019,49.7,0.772495755517827,0.73469387755102,0.859649122807018
"133","May","Tuesday",2019,2019,54.3,0.65365025466893,0.653061224489796,0.578947368421053
"134","May","Wednesday",2019,2019,62.3,0.730050933786078,0.770408163265306,0.807017543859649
"135","May","Thursday",2019,2019,66.3,0.687606112054329,0.729591836734694,0.736842105263158
"136","May","Friday",2019,2019,57.9,0.747028862478778,0.622448979591837,0.754385964912281
"137","May","Saturday",2019,2019,55.7,0.716468590831918,0.76530612244898,0.578947368421053
