"","temp","dewp","Crime_Total"
"2",27.6,24.5,0.538593481989708
"3",29.2,22.9,0.703259005145798
"4",37,28.1,0.734133790737564
"5",38.9,32,0.773584905660377
"6",37.9,31.7,0.554030874785592
"7",43.6,38.7,0.574614065180103
"8",41.4,35.4,0.617495711835334
"9",23.2,11.6,0.497427101200686
"10",17.9,8.7,0.591766723842196
"11",23.4,17.4,0.759862778730703
"12",30.2,23.8,0.569468267581475
"13",29.7,24,0.397941680960549
"14",25.4,20.4,0.504288164665523
"15",25.5,21.8,0.612349914236707
"16",31.2,24.9,0.615780445969125
"17",30.3,24,0.53516295025729
"18",29.7,23.5,0.560891938250429
"19",26.4,23.3,0.310463121783877
"20",11.9,2.8,0.260720411663808
"21",9.4,0.2,0.368782161234991
"22",18.7,8.7,0.48885077186964
"23",29.5,27.9,0.550600343053173
"24",16.6,12.3,0.456260720411664
"25",1.3,-5.5,0.420240137221269
"26",2.1,-4.7,0.327615780445969
"27",3.8,-2.4,0.313893653516295
"28",18.4,12.9,0.308747855917667
"29",5.8,-0.8,0.262435677530017
"30",-14.6,-23.8,0
"31",-15,-23,0.202401372212693
"32",6.9,1.6,0.746140651801029
"33",25.6,21,0.653516295025729
"34",42.3,40.1,0.435677530017153
"35",47.3,44.2,0.677530017152659
"36",29.5,24.3,0.53516295025729
"37",32.8,31.4,0.506003430531732
"38",35.6,34,0.564322469982847
"39",11.4,2.5,0.516295025728988
"40",11.8,2.2,0.711835334476844
"41",23.4,15.9,0.509433962264151
"42",28,25.3,0.48885077186964
"43",32,29.3,0.555746140651801
"44",18.5,14.6,0.518010291595197
"45",36.1,27.2,0.687821612349914
"46",22.8,15.3,0.686106346483705
"47",18.6,11.4,0.576329331046312
"48",25.3,20.4,0.475128644939966
"49",25.1,20.6,0.427101200686106
"50",21.8,12.9,0.466552315608919
"51",31.1,25.9,0.504288164665523
"52",30.9,21.3,0.608919382504288
"53",28.6,19,0.636363636363636
"54",35.6,29,0.524871355060034
"55",37.4,30.7,0.353344768439108
"56",12.3,0.5,0.439108061749571
"57",16.9,8,0.459691252144082
"58",24.6,17.4,0.528301886792453
"59",18,8.1,0.435677530017153
"60",26.7,16,0.711835334476844
"61",29.1,21.4,0.555746140651801
"62",22.2,10.7,0.360205831903945
"63",5.2,-6.4,0.34819897084048
"64",11.9,0.4,0.344768439108062
"65",16.3,3.7,0.493996569468268
"66",22.7,10.7,0.461406518010292
"67",28,20.3,0.646655231560892
"68",33.5,27.4,0.473413379073756
"69",36.6,32.2,0.46483704974271
"70",32,19.2,0.615780445969125
"71",35.2,23.5,0.490566037735849
"72",44.9,36.8,0.595197255574614
"73",55.3,48.4,0.574614065180103
"74",38,33,0.675814751286449
"75",34.4,21.4,0.728987993138937
"76",34.8,21.9,0.46483704974271
"77",35.4,23.7,0.531732418524871
"78",38.7,24,0.519725557461406
"79",41.7,33.2,0.60377358490566
"80",39.8,34.8,0.596912521440823
"81",40.2,29.8,0.631217838765009
"82",36.5,24.9,0.598627787307033
"83",45.5,31.8,0.526586620926244
"84",36,25.6,0.51114922813036
"85",34.9,13.9,0.567753001715266
"86",41.8,17.3,0.612349914236707
"87",53.2,38.7,0.586620926243568
"88",46.7,32,0.572898799313894
"89",39.7,32.1,0.552315608919382
"90",30.7,14.6,0.507718696397942
"91",35,20.2,0.773584905660377
"92",44.7,30.6,0.542024013722127
"93",45.5,28.4,0.58147512864494
"94",46,38.1,0.552315608919382
"95",43.5,39.2,0.624356775300172
"96",51.7,44.3,0.689536878216124
"97",56.3,49.4,0.620926243567753
"98",61.2,46.7,0.691252144082333
"99",59.8,36.2,0.60377358490566
"100",40.5,30.7,0.543739279588336
"101",42.2,34.2,0.694682675814751
"102",47.9,35.4,0.753001715265866
"103",42.4,24.9,0.708404802744425
"104",36.8,29.9,0.334476843910806
"105",37.8,28.5,0.656946826758148
"106",56,41.8,0.629502572898799
"107",55,46.1,0.602058319039451
"108",58.5,50.3,0.492281303602058
"109",44.9,34.2,0.530017152658662
"110",49.5,20.7,0.667238421955403
"111",58.3,25.3,0.521440823327616
"112",68.1,42,0.679245283018868
"113",59.1,48.8,0.689536878216124
"114",52.7,38.4,0.619210977701544
"115",56.7,37.4,0.730703259005146
"116",55.6,38,0.72041166380789
"117",42.4,29.9,0.493996569468268
"118",39.1,27.2,0.454545454545455
"119",45.1,38,0.644939965694683
"120",44.4,42.6,0.665523156089194
"121",50,47.3,0.816466552315609
"122",44.3,42.4,0.614065180102916
"123",47.5,40.2,0.771869639794168
"124",49.5,38.1,0.614065180102916
"125",58.3,40.8,0.751286449399657
"126",59.3,47.7,0.773584905660377
"127",46.4,40,0.615780445969125
"128",50.1,38.7,0.716981132075472
"129",61.3,55.5,0.679245283018868
"130",49.6,38.2,0.783876500857633
"131",47.6,36.5,0.608919382504288
"132",46.2,37.5,0.497427101200686
"133",49.7,37.7,0.770154373927959
"134",54.3,37.1,0.65008576329331
"135",62.3,42.5,0.727272727272727
"136",66.3,54.8,0.684391080617496
"137",57.9,50,0.74442538593482
"138",55.7,47.4,0.713550600343053
"139",62.7,56.2,0.74442538593482
"140",53.3,43.1,0.802744425385935
"141",48.5,39.3,0.663807890222985
"142",61.4,50.1,0.739279588336192
"143",70.1,55.4,0.739279588336192
"144",62.3,51.8,0.867924528301887
"145",73.6,62.7,0.915951972555746
"146",70,57.6,0.831903945111492
"147",61.2,51.4,0.694682675814751
"148",64.5,60.1,0.696397941680961
"149",59.5,54.6,0.680960548885077
"150",66,57,0.692967409948542
"151",70.5,57.9,0.840480274442539
"152",71,60.3,1
"153",60.1,46.6,0.67409948542024
"154",57.8,38.2,0.626072041166381
"155",64.2,49.1,0.739279588336192
"156",74.4,63.8,0.770154373927959
"157",65.5,58.6,0.686106346483705
"158",66.2,57,0.826758147512864
"159",67,52.3,0.938250428816467
"160",68.8,57.7,0.795883361921098
"161",66.7,52.8,0.785591766723842
"162",68.8,43.8,0.747855917667238
"163",67.4,48.1,0.641509433962264
"164",57.9,47.6,0.617495711835334
"165",64.8,43.6,0.797598627787307
"166",66.5,56.9,0.842195540308748
"167",57,55,0.65180102915952
"168",59,52.6,0.704974271012007
"169",63.9,55.9,0.643224699828473
"170",66.6,56.3,0.801029159519726
"171",60,56.4,0.672384219554031
"172",62.8,48.8,0.751286449399657
"173",66.5,52.9,0.830188679245283
"174",73.1,62.8,0.802744425385935
"175",71.3,67.1,0.804459691252144
"176",72,59.1,0.759862778730703
"177",78.2,60.6,0.783876500857633
"178",77.2,65.5,0.701543739279588
"179",75.7,66,0.866209262435678
"180",78.4,66.9,0.897084048027444
"181",77.7,65.1,0.794168096054888
"182",77.1,67.5,0.97598627787307
"183",83.9,70,0.734133790737564
"184",77.6,68.7,0.799313893653516
"185",78.1,67.7,0.785591766723842
"186",81.4,69.1,0.943396226415094
"187",77.7,68.5,0.8147512864494
"188",70.2,58.1,0.74442538593482
"189",70.8,53.2,0.843910806174957
"190",74.2,57.5,0.689536878216124
"191",83.4,66.1,0.850771869639794
"192",77.5,61.6,0.727272727272727
"193",71.8,55.7,0.76672384219554
"194",81.9,63.2,0.945111492281304
"195",79.4,62.5,0.770154373927959
"196",81,65.1,0.825042881646655
"197",77.2,67.3,0.710120068610635
"198",80.5,70.7,0.792452830188679
"199",77.4,71.2,0.718696397941681
"200",85.5,75.7,0.79073756432247
"201",85,73.7,0.833619210977702
"202",73.6,66.4,0.742710120068611
"203",70.3,54.2,0.770154373927959
"204",69.9,54.3,0.76672384219554
"205",71.2,53.3,0.692967409948542
"206",73.3,51.3,0.787307032590051
"207",75.6,59,0.81303602058319
"208",79.7,62.4,0.831903945111492
"209",81.1,64.7,0.843910806174957
"210",77.3,67.1,0.81303602058319
"211",73.2,61.2,0.747855917667238
"212",68.6,55.6,0.638078902229846
"213",68.5,54.9,0.993138936535163
"214",72,57.1,0.926243567753002
"215",75.4,55.9,0.905660377358491
"216",78.7,61.5,0.85934819897084
"217",78.8,63.3,0.802744425385935
"218",76.1,63.5,0.759862778730703
"219",76.7,61.6,0.751286449399657
"220",79.1,59.6,0.821612349914237
"221",72.7,52,0.780445969125214
"222",74.2,55.9,0.787307032590051
"223",74.4,59.7,0.79073756432247
"224",76,69,0.631217838765009
"225",75.2,68.3,0.7221269296741
"226",71.9,64.8,0.775300171526587
"227",70.1,60.4,0.811320754716981
"228",71.8,60.1,0.740994854202401
"229",73.3,65.8,0.806174957118353
"230",73.5,67.1,0.716981132075472
"231",75.6,66,0.765008576329331
"232",74.3,69.8,0.670668953687822
"233",73.1,66.9,0.653516295025729
"234",71.4,60.1,0.708404802744425
"235",67.6,52.8,0.754716981132076
"236",66.8,52.5,0.818181818181818
"237",68.6,52.9,0.730703259005146
"238",70.2,63.1,0.667238421955403
"239",71.6,62.9,0.670668953687822
"240",68.2,52.1,0.706689536878216
"241",69.8,56.3,0.740994854202401
"242",69.6,52.7,0.730703259005146
"243",66.9,51.9,0.742710120068611
"244",66.9,60.3,0.945111492281304
"245",70,61.5,0.747855917667238
"246",72.3,65.1,0.58147512864494
"247",67.6,57,0.586620926243568
"248",63.9,52.2,0.528301886792453
"249",67.3,57.7,0.740994854202401
"250",66.3,55.9,0.679245283018868
"251",65.1,55.4,0.65008576329331
"252",66.5,58.5,0.749571183533448
"253",78,66.5,0.65008576329331
"254",80.5,70.4,0.701543739279588
"255",71.9,66.8,0.761578044596912
"256",72.7,65.4,0.816466552315609
"257",66.7,55.1,0.725557461406518
"258",70.6,62.7,0.761578044596912
"259",71.2,66.8,0.797598627787307
"260",69.3,63.2,0.754716981132076
"261",70.9,61,0.710120068610635
"262",72.2,58.8,0.76843910806175
"263",74.1,64.4,0.8147512864494
"264",75.1,67,0.713550600343053
"265",72.2,67.5,0.540308747855918
"266",66.7,57.7,0.728987993138937
"267",66.9,54.5,0.713550600343053
"268",70.3,55.9,0.638078902229846
"269",65.5,45.8,0.631217838765009
"270",63.3,49.2,0.560891938250429
"271",61.3,59.1,0.615780445969125
"272",60.9,57.9,0.638078902229846
"273",71.2,65.9,0.706689536878216
"274",78.6,67.3,0.927958833619211
"275",65.9,61.9,0.667238421955403
"276",60.7,56.3,0.667238421955403
"277",51.8,45.1,0.643224699828473
"278",54.6,46.3,0.655231560891938
"279",58.6,47.2,0.564322469982847
"280",58.6,43,0.694682675814751
"281",57.1,43.2,0.636363636363636
"282",59.8,44.3,0.67409948542024
"283",61.6,52.1,0.524871355060034
"284",59.7,55.2,0.663807890222985
"285",42.7,26.6,0.665523156089194
"286",45.4,31.9,0.610634648370497
"287",44.7,31.8,0.591766723842196
"288",50,40.6,0.691252144082333
"289",48.8,37,0.686106346483705
"290",46,36.4,0.574614065180103
"291",46.8,38.5,0.622641509433962
"292",53.4,40.4,0.646655231560892
"293",56.3,47.6,0.65008576329331
"294",56.2,50.9,0.636363636363636
"295",50,38.8,0.545454545454545
"296",47.5,33.7,0.615780445969125
"297",47.1,39,0.643224699828473
"298",44.5,34.1,0.703259005145798
"299",42.1,37.6,0.373927958833619
"300",48.6,42,0.617495711835334
"301",47.1,41.2,0.547169811320755
"302",40.3,36.3,0.504288164665523
"303",36.5,32.4,0.406518010291595
"304",33.4,31.7,0.425385934819897
"305",30.9,23.6,0.885077186963979
"306",38,31.3,0.554030874785592
"307",38.8,28.3,0.65180102915952
"308",47.6,34.7,0.567753001715266
"309",37.7,25.3,0.506003430531732
"310",38.6,24.7,0.548885077186964
"311",28.3,18.7,0.554030874785592
"312",23,8.1,0.58147512864494
"313",33.6,16.8,0.632933104631218
"314",40.6,30.9,0.533447684391081
"315",28.1,24.6,0.262435677530017
"316",13.4,1.9,0.353344768439108
"317",15.7,3.7,0.406518010291595
"318",27.1,19.9,0.406518010291595
"319",27.1,20.2,0.715265866209262
"320",32.8,26.6,0.554030874785592
"321",32.9,26.6,0.619210977701544
"322",36.7,33.5,0.586620926243568
"323",37.2,32,0.593481989708405
"324",40.8,37.3,0.665523156089194
"325",46.5,41.9,0.550600343053173
"326",36,26.8,0.662092624356775
"327",31,25,0.619210977701544
"328",38,30.2,0.612349914236707
"329",44.5,36.3,0.60548885077187
"330",41.2,34.3,0.578044596912521
"331",44.4,39.6,0.507718696397942
"332",33.8,25.2,0.286449399656947
"333",35.7,32.8,0.528301886792453
"334",37.3,34.2,0.552315608919382
"335",39.3,37.6,0.656946826758148
"336",31.7,26.5,0.631217838765009
"337",32.4,26.2,0.598627787307033
"338",36.7,28.1,0.694682675814751
"339",35.7,27.9,0.615780445969125
"340",38.5,29.6,0.677530017152659
"341",30.7,23.8,0.615780445969125
"342",38.5,30.7,0.566037735849057
"343",45.8,43.3,0.624356775300172
"344",22,13.2,0.572898799313894
"345",17.9,7.4,0.454545454545455
"346",28,18.2,0.540308747855918
"347",39.7,27.5,0.670668953687822
"348",32.8,28,0.584905660377358
"349",23.5,15.2,0.538593481989708
"350",26,20.1,0.485420240137221
"351",24.9,18.7,0.564322469982847
"352",19.9,7.4,0.53516295025729
"353",22.9,8.8,0.586620926243568
"354",29.9,24.6,0.660377358490566
"355",37.5,28.5,0.696397941680961
"356",39.7,30.6,0.583190394511149
"357",42,31.8,0.600343053173242
"358",39.8,35,0.485420240137221
"359",47.5,39.7,0.291595197255575
"360",55.6,48,0.461406518010292
"361",36.9,31.7,0.60377358490566
"362",34.1,30,0.51114922813036
"363",51.9,49,0.596912521440823
"364",38.4,34.7,0.471698113207547
"365",26.3,20.8,0.356775300171527
"732",26.7,22.3,0.83010752688172
"733",32,28.5,0.245161290322581
