"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","year","temp","linearStreet2019_2021.CRIME_NUM"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,30.7,0.622377622377622
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,27.6,0.513986013986014
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,29.2,0.660839160839161
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,37,0.576923076923077
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,38.9,0.611888111888112
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,37.9,0.479020979020979
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,43.6,0.440559440559441
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,41.4,0.468531468531469
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,23.2,0.437062937062937
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,17.9,0.513986013986014
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,23.4,0.559440559440559
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,30.2,0.496503496503497
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,29.7,0.440559440559441
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,25.4,0.482517482517482
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,25.5,0.513986013986014
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,31.2,0.517482517482518
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,30.3,0.458041958041958
"18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,29.7,0.475524475524476
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,26.4,0.388111888111888
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,11.9,0.381118881118881
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,9.4,0.405594405594406
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,18.7,0.388111888111888
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,29.5,0.496503496503497
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,16.6,0.398601398601399
"25",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,1.3,0.311188811188811
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,2.1,0.433566433566434
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,3.8,0.363636363636364
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,18.4,0.332167832167832
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,5.8,0.367132867132867
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,-14.6,0.188811188811189
"31",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,-15,0.36013986013986
"32",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,6.9,0.541958041958042
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,25.6,0.597902097902098
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,42.3,0.520979020979021
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,47.3,0.527972027972028
